Product,Category,Date,Month,Hour,Department,ip,url,Product,Category,Date,Month,Hour,Department,ip
adidas Brazuca 2017 Official Match Ball,baseball & softball,9/1/2017 6:00,Sep,6,fitness ,37.97.182.65,/department/fitness/category/baseball%20&%20softball/product/adidas%20Brazuca%202017%20Official%20Match%20Ball,adidas Brazuca 2017 Official Match Ball,baseball & softball,9/1/2017 6:00,Sep,6,fitness ,37.97.182.65
The North Face Women's Recon Backpack,hunting & shooting,9/1/2017 6:00,Sep,6,fan shop ,206.56.112.1,/department/fan%20shop/category/hunting%20&%20shooting/product/The%20North%20Face%20Women's%20Recon%20Backpack,The North Face Women's Recon Backpack,hunting & shooting,9/1/2017 6:00,Sep,6,fan shop ,206.56.112.1
adidas Kids' RG III Mid Football Cleat,featured shops,9/1/2017 6:00,Sep,6,apparel ,215.143.180.0,/department/apparel/category/featured%20shops/product/adidas%20Kids'%20RG%20III%20Mid%20Football%20Cleat,adidas Kids' RG III Mid Football Cleat,featured shops,9/1/2017 6:00,Sep,6,apparel ,215.143.180.0
Under Armour Men's Compression EV SL Slide,electronics,9/1/2017 6:00,Sep,6,footwear ,206.56.112.1,/department/footwear/category/electronics/product/Under%20Armour%20Men's%20Compression%20EV%20SL%20Slide,Under Armour Men's Compression EV SL Slide,electronics,9/1/2017 6:00,Sep,6,footwear ,206.56.112.1
Pelican Sunstream 100 Kayak,water sports,9/1/2017 6:01,Sep,6,fan shop ,136.108.56.242,/department/fan%20shop/category/water%20sports/product/Pelican%20Sunstream%20100%20Kayak,Pelican Sunstream 100 Kayak,water sports,9/1/2017 6:01,Sep,6,fan shop ,136.108.56.242
Team Golf Tennessee Volunteers Putter Grip,accessories,9/1/2017 6:02,Sep,6,outdoors ,116.202.25.156,/department/outdoors/category/accessories/product/Team%20Golf%20Tennessee%20Volunteers%20Putter%20Grip,Team Golf Tennessee Volunteers Putter Grip,accessories,9/1/2017 6:02,Sep,6,outdoors ,116.202.25.156
The North Face Women's Recon Backpack,hunting & shooting,9/1/2017 6:02,Sep,6,fan shop ,131.132.236.70,/department/fan%20shop/category/hunting%20&%20shooting/product/The%20North%20Face%20Women's%20Recon%20Backpack,The North Face Women's Recon Backpack,hunting & shooting,9/1/2017 6:02,Sep,6,fan shop ,131.132.236.70
Diamondback Boys' Insight 24 Performance Hybr,basketball,9/1/2017 6:02,Sep,6,fitness ,30.175.101.147,/department/fitness/category/basketball/product/Diamondback%20Boys'%20Insight%2024%20Performance%20Hybr/add_to_cart,Diamondback Boys' Insight 24 Performance Hybr,basketball,9/1/2017 6:02,Sep,6,fitness ,30.175.101.147
Nike Men's Dri-FIT Victory Golf Polo,women's apparel,9/1/2017 6:03,Sep,6,golf ,206.56.112.1,/department/golf/category/women's%20apparel/product/Nike%20Men's%20Dri-FIT%20Victory%20Golf%20Polo,Nike Men's Dri-FIT Victory Golf Polo,women's apparel,9/1/2017 6:03,Sep,6,golf ,206.56.112.1
adidas Kids' RG III Mid Football Cleat,featured shops,9/1/2017 6:03,Sep,6,apparel ,171.218.47.35,/department/apparel/category/featured%20shops/product/adidas%20Kids'%20RG%20III%20Mid%20Football%20Cleat,adidas Kids' RG III Mid Football Cleat,featured shops,9/1/2017 6:03,Sep,6,apparel ,171.218.47.35
Nike Men's Dri-FIT Victory Golf Polo,women's apparel,9/1/2017 6:03,Sep,6,golf ,57.209.125.46,/department/golf/category/women's%20apparel/product/Nike%20Men's%20Dri-FIT%20Victory%20Golf%20Polo,Nike Men's Dri-FIT Victory Golf Polo,women's apparel,9/1/2017 6:03,Sep,6,golf ,57.209.125.46
Under Armour Women's Micro G Skulpt Running S,boxing & mma,9/1/2017 6:03,Sep,6,footwear ,34.175.52.9,/department/footwear/category/boxing%20&%20mma/product/Under%20Armour%20Women's%20Micro%20G%20Skulpt%20Running%20S/add_to_cart,Under Armour Women's Micro G Skulpt Running S,boxing & mma,9/1/2017 6:03,Sep,6,footwear ,34.175.52.9
Perfect Fitness Perfect Rip Deck,cleats,9/1/2017 6:04,Sep,6,apparel ,67.207.60.176,/department/apparel/category/cleats/product/Perfect%20Fitness%20Perfect%20Rip%20Deck,Perfect Fitness Perfect Rip Deck,cleats,9/1/2017 6:04,Sep,6,apparel ,67.207.60.176
adidas Kids' RG III Mid Football Cleat,featured shops,9/1/2017 6:05,Sep,6,apparel ,26.26.6.78,/department/apparel/category/featured%20shops/product/adidas%20Kids'%20RG%20III%20Mid%20Football%20Cleat,adidas Kids' RG III Mid Football Cleat,featured shops,9/1/2017 6:05,Sep,6,apparel ,26.26.6.78
O'Brien Men's Neoprene Life Vest,indoor outdoor games,9/1/2017 6:06,Sep,6,fan shop ,56.236.85.9,/department/fan%20shop/category/indoor/outdoor%20games/product/O'Brien%20Men's%20Neoprene%20Life%20Vest,O'Brien Men's Neoprene Life Vest,indoor outdoor games,9/1/2017 6:06,Sep,6,fan shop ,56.236.85.9
Under Armour Hustle Storm Medium Duffle Bag,fitness accessories,9/1/2017 6:06,Sep,6,footwear ,190.134.131.64,/department/footwear/category/fitness%20accessories/product/Under%20Armour%20Hustle%20Storm%20Medium%20Duffle%20Bag/add_to_cart,Under Armour Hustle Storm Medium Duffle Bag,fitness accessories,9/1/2017 6:06,Sep,6,footwear ,190.134.131.64
Under Armour Women's Micro G Skulpt Running S,boxing & mma,9/1/2017 6:06,Sep,6,footwear ,171.218.47.35,/department/footwear/category/boxing%20&%20mma/product/Under%20Armour%20Women's%20Micro%20G%20Skulpt%20Running%20S,Under Armour Women's Micro G Skulpt Running S,boxing & mma,9/1/2017 6:06,Sep,6,footwear ,171.218.47.35
Under Armour Men's Compression EV SL Slide,electronics,9/1/2017 6:06,Sep,6,footwear ,194.78.95.39,/department/footwear/category/electronics/product/Under%20Armour%20Men's%20Compression%20EV%20SL%20Slide,Under Armour Men's Compression EV SL Slide,electronics,9/1/2017 6:06,Sep,6,footwear ,194.78.95.39
SOLE E35 Elliptical,strength training,9/1/2017 6:07,Sep,6,footwear ,41.209.131.244,/department/footwear/category/strength%20training/product/SOLE%20E35%20Elliptical/add_to_cart,SOLE E35 Elliptical,strength training,9/1/2017 6:07,Sep,6,footwear ,41.209.131.244
Nike Men's Dri-FIT Victory Golf Polo,women's apparel,9/1/2017 6:07,Sep,6,golf ,81.232.70.160,/department/golf/category/women's%20apparel/product/Nike%20Men's%20Dri-FIT%20Victory%20Golf%20Polo,Nike Men's Dri-FIT Victory Golf Polo,women's apparel,9/1/2017 6:07,Sep,6,golf ,81.232.70.160
Under Armour Hustle Storm Medium Duffle Bag,fitness accessories,9/1/2017 6:08,Sep,6,footwear ,131.132.236.70,/department/footwear/category/fitness%20accessories/product/Under%20Armour%20Hustle%20Storm%20Medium%20Duffle%20Bag,Under Armour Hustle Storm Medium Duffle Bag,fitness accessories,9/1/2017 6:08,Sep,6,footwear ,131.132.236.70
Nike Men's Comfort 2 Slide,tennis & racquet,9/1/2017 6:09,Sep,6,fitness ,186.82.23.71,/department/fitness/category/tennis%20&%20racquet/product/Nike%20Men's%20Comfort%202%20Slide,Nike Men's Comfort 2 Slide,tennis & racquet,9/1/2017 6:09,Sep,6,fitness ,186.82.23.71
Under Armour Men's Tech II T-Shirt,lacrosse,9/1/2017 6:09,Sep,6,fitness ,7.178.104.99,/department/fitness/category/lacrosse/product/Under%20Armour%20Men's%20Tech%20II%20T-Shirt,Under Armour Men's Tech II T-Shirt,lacrosse,9/1/2017 6:09,Sep,6,fitness ,7.178.104.99
Nike Men's Free 5.0+ Running Shoe,cardio equipment,9/1/2017 6:09,Sep,6,footwear ,186.82.23.71,/department/footwear/category/cardio%20equipment/product/Nike%20Men's%20Free%205.0+%20Running%20Shoe,Nike Men's Free 5.0+ Running Shoe,cardio equipment,9/1/2017 6:09,Sep,6,footwear ,186.82.23.71
Nike Men's Fingertrap Max Training Shoe,soccer,9/1/2017 6:10,Sep,6,fitness ,64.75.129.109,/department/fitness/category/soccer/product/Nike%20Men's%20Fingertrap%20Max%20Training%20Shoe,Nike Men's Fingertrap Max Training Shoe,soccer,9/1/2017 6:10,Sep,6,fitness ,64.75.129.109
